A,BDX,-0.029338044708288186
A,HOLX,-0.077150938245558243
A,HPQ,-0.012352976286437483
A,IBM,-0.063261831958736039
A,MSFT,-0.085581809497252331
A,TMO,-0.038478151253686234
AAPL,HPQ,-0.11648017727132148
AAPL,IBM,-0.15310381222995559
AAPL,INTC,-0.2292471109727619
AAPL,MSFT,-0.1759232697757783
AAPL,ORCL,-0.17210043897325883
AAPL,XRX,-0.026279506478391963
ACN,AXP,0.079356574806054764
ACN,FISV,0.11733481418289329
ACN,HON,0.087569329221908715
ACN,IBM,0.070754687282635939
ACN,MA,0.081443484206866049
ACN,NCR,0.1214165752952221
ACN,PAY,0.12828810720884665
